Origin,Trans
File,文件
Edit,编辑
Preference,设置
Help,帮助
Property,属性
Sound,音
Pitch,音高
Duration,长度
Lyric,歌词
Phoneme,音素
Position,位置
Measure,小节
Beat,拍子
Tick,Tick
Attribute,属性
Accent,重音
Staccato,断音
Breath,呼吸
Slur start,连音开始
Slur end,连音结束
Import,导入
Export,导出
Display Language,显示语言
Japanese,简体中文
English,英语
Batch lyric entry,输入长段歌词
Space,按空格分隔
One note per character,1音符1字符
OK,OK
Cancel,取消
Add,增加
Change,更改
Delete,删除
Set lyrics to start from the first note. (Up to XXX notes),从开头音符开始设置歌词。(最大XXX音符)
Set lyrics to start from the selected note. (Up to XXX notes),从选中的音符开始设置歌词。(最大XXX音符)
Note Properties,音符属性
Tempo Properties,曲速属性
Time Signature Properties,节拍属性
Key Signature Properties,调号属性
Dynamics Properties,强弱记号属性
Tempo,曲速
Time signature,节拍
Key signature,调号
Dynamics,强弱记号
Selection Tool,选择工具
Bulk Selection Tool,范围选择工具
Draw Tool,画笔工具
Line Tool,直线工具
Eraser Tool,橡皮擦工具
Undo,撤销
Redo,重做
(Not selected),(未选择)
Lock track,固定音轨
Unlock the track?,要解除音轨的固定状态吗？
Lock the track?,要固定音轨吗？
Note,音符
Tempo & Time Signature,曲速 & 节拍
Quantize,量化
Edit Score,乐谱编辑
Edit Timing,时间调整
Edit Volume,音量调整
Edit Pitch,音高调整
Edit Vibrato Amplitude,颤音振幅调整
Edit Vibrato Frequency,颤音周期调整
Edit Alpha Details,音色细节调整
Edit Huskiness,沙哑程度调整
Edit Mode,编辑模式
Paste where clicked,粘贴到点击位置
Hide Global Parameter,隐藏全局参数
Show Global Parameter,显示全局参数
Hide Tempo,隐藏曲速
Show Tempo,显示曲速
Hide Time Signature,隐藏节拍
Show Time Signature,显示节拍
Hide Key Signature,隐藏调号
Show Key Signature,显示调号
Clear slur start,清除滑音开始
Set slur start,设置滑音开始
Clear slur end,清除滑音结束
Set slur end,设置滑音结束
Reset phoneme,重置编辑过的音素
"Invalid sampling rate. Please change the host sampling rate to 48,000 Hz.","不支持的采样率。请将宿主的采样率设置为48000 Hz。"
Failed to synthesize.,语音合成失败。
Failed to load voice.,声源读取失败。
The notes in the first bar will not play. Please make changes.,开头小节的音符不会被播放。请修正此问题。
Track was unlocked.,音轨固定已解除。
Phoneme invalid.,指定的音素无效。
Move Up,向上移动
Move Down,向下移动
Move Left,向左移动
Move Right,向右移动
Cut,剪切
Copy,复制
Paste,粘贴
Select All,全选
Color Theme,色彩主题
General,常规
Download Voice,下载声源
(Not available),(不可用)
(No voices),(无声源)
Dark Mode,暗色模式
Light Mode,亮色模式
Activate,激活
Version information,版本信息
Scan MIDI,扫描MIDI
The MIDI of the section to be played is sent to the plugin.,将播放区间对应的MIDI\n发送到插件。
Scan Settings,扫描设置
1/2(Triplet),1/2(三连音)
1/4(Triplet),1/4(三连音)
1/8(Triplet),1/8(三连音)
1/16(Triplet),1/16(三连音)
Audio Mixdown,导出混音WAV
Quit,退出
Save,保存
Save As,另存为
New Project,新工程
Open,打开
Save the current project?,要保存当前编辑的内容吗？
Export Mixdown Audio File,导出混音WAV文件
Exporting,导出中
Audio Device,音频设备
Error occurred while opening audio device.,打开音频设备时发生错误。
Import Audio File,导入音频文件
Add Song Track,添加歌唱音轨
Add Talk Track,添加语音音轨
Add Audio Track,添加音频音轨
Duplicate Track,复制音轨
Remove Track,删除音轨
Change Track Name,更改音轨名
Add Track,添加音轨
Move Track,移动音轨
Delete Audio File,删除音频文件
Move Audio File,移动音频文件
Load Voice,加载声源
Load MusicXML,读取MusicXML文件
Load CCS File,读取CCS文件
